Name,MB,Year,House
Cadmus Bagshot,14,6,Ravenclaw
Igor MacMillian,9,2,Slytherin
Alicia Gaunt,9,2,Slytherin
Quigley Hopkirk,7,5,Gryffindor
Winky McClaggen,3,4,Slytherin
Olympe Grunnion,6,5,Gryffindor
Bartemius Lestrange,11,6,Hufflepuff
Oliver Johnson,5,6,Ravenclaw
Adalbert Dumbledore,5,4,Ravenclaw
Arcturus Longbottom,9,2,Slytherin
MykewÂ Slughorn,15,6,Ravenclaw
Alastor McClaggen,14,2,Ravenclaw
Moaning Myrtle Hagrid,1,6,Gryffindor
Bathilda Elphick,11,3,Hufflepuff
Merope Volkov,15,4,Ravenclaw
Ragnok Hagrid,3,5,Slytherin
Kevin Dippet,11,6,Hufflepuff
Angelina Pennifold,6,2,Gryffindor
Ptolemy Bulstrode,12,3,Ravenclaw
Percy Dawlish,6,6,Gryffindor
Dolores Nott,9,6,Slytherin
Hannah Zeller,9,3,Slytherin
Muriel Marchbanks,15,6,Ravenclaw
Bartemius Crouch Junior Hufflepuff,9,6,Slytherin
Magorian Carrow,4,6,Slytherin
Vincent Binns,3,5,Slytherin
Albus percival Wulfric Brian Slytherin,15,3,Ravenclaw
Winky Gryffindor,15,2,Ravenclaw
Yaxley Vulchanov,4,2,Slytherin
Sturgis Flint,3,3,Slytherin
Marietta Midgeon,11,6,Hufflepuff
Quirinus Malfoy,9,5,Slytherin
Lucius Flamel,3,3,Slytherin
Hedwig Higgs,10,6,Hufflepuff
Golgomath Jigger,11,5,Hufflepuff
Romilda Thickey,7,4,Gryffindor
Ragnok Morgan,10,3,Hufflepuff
Moony Peverell,15,6,Ravenclaw
Oblansk Bagman,8,4,Hufflepuff
Salazar MacFarlan,14,6,Ravenclaw
Garrick Bagnold,6,4,Gryffindor
Hassan Lupin,3,3,Slytherin
Albus percival Wulfric Brian Ogden,9,6,Slytherin
Ptolemy Switch,10,2,Hufflepuff
Albus percival Wulfric Brian Delacour,15,4,Ravenclaw
Karkus Diggory,8,5,Hufflepuff
Mosag Lestrange,4,6,Slytherin
Piers Lockhart,16,3,Ravenclaw
Errol Mumps,16,3,Ravenclaw
Nymphadora Burbage,11,4,Hufflepuff
Gregory Purkiss,3,2,Slytherin
Scabior Binns,9,3,Slytherin
Barnabas the Barmy Warrington,10,2,Hufflepuff
Narcissa Warrington,1,4,Gryffindor
Penelope Ollivander,14,3,Ravenclaw
Ted Mostafa,16,4,Ravenclaw
Teddy Derwent,8,4,Hufflepuff
Charity Pince,2,5,Slytherin
Nagini Trelawney,13,5,Ravenclaw
Fleur Slytherin,5,4,Ravenclaw
Dedalus Cattermole,4,4,Slytherin
Miranda Turpin,16,4,Ravenclaw
Bill Davies,10,6,Hufflepuff
Demelza Bell,14,5,Ravenclaw
Eunice Goldstein,7,6,Gryffindor
Avery Whisp,15,6,Ravenclaw
Arthur Pince,13,2,Ravenclaw
Morgana MacFarlan,14,3,Ravenclaw
Dudley Umfraville,12,6,Ravenclaw
Wendy Higgs,12,5,Ravenclaw
Cassandra Vane,7,4,Gryffindor
Yaxley Keddle,2,5,Slytherin
Elfrida Bryce,2,6,Slytherin
Miranda Bragge,4,5,Slytherin
Jimmy Zeller,16,5,Ravenclaw
Ptolemy Dawlish,15,5,Ravenclaw
Violet Umbridge,12,3,Ravenclaw
Dobby Black,8,5,Hufflepuff
Emmeline Thicknesse,5,5,Ravenclaw
Godric Whitby,10,3,Hufflepuff
Aberforth Clagg,11,3,Hufflepuff
Harry Prince,14,6,Ravenclaw
Oblansk Clagg,9,6,Slytherin
Wilbert Snape,14,6,Ravenclaw
Buckbeak Doreen,5,3,Ravenclaw
Charlie Corner,1,3,Gryffindor
Gregory the Smarmy Warrington,7,2,Gryffindor
Morgana Prince,11,2,Hufflepuff
Phyllida Midgeon,14,2,Ravenclaw
Gregory Umfraville,16,3,Ravenclaw
Madam Rosmerta Burbage,7,3,Gryffindor
Pansy Davies,5,5,Ravenclaw
Sybill Nott,2,6,Slytherin
Hassan Moody,8,2,Hufflepuff
Fang Umbridge,16,4,Ravenclaw
Celestina Dolohov,5,2,Ravenclaw
Andromeda Grubbly-Plank,2,4,Slytherin
Alastor Timms,16,3,Ravenclaw
Cadmus Slinkhard,11,2,Hufflepuff
Quigley Purkiss,2,4,Slytherin
Pigwidgeon Bode,2,2,Slytherin
Thomas Trelawney,6,6,Gryffindor
Nearly Headless Nick McLaggen,5,6,Ravenclaw
Travers Ollivander,5,6,Ravenclaw
Charlie Black,5,3,Ravenclaw
Bellatrix Flamel,2,3,Slytherin
Edgar Pennifold,4,6,Slytherin
Hokey Quirke,7,4,Gryffindor
Lisa Malfoy,12,2,Ravenclaw
Charlie Longbottom,3,2,Slytherin
Nymphadora Finch-Fletchley,4,2,Slytherin
Bathilda Johnson,10,6,Hufflepuff
Charity Brown,2,5,Slytherin
Olympe Bagman,11,2,Hufflepuff
Quigley Crouch,8,6,Hufflepuff
Ted Perks,16,5,Ravenclaw
Dobby Dolohov,3,5,Slytherin
Peter Zabini,11,5,Hufflepuff
Snivellus Krum,2,4,Slytherin
Oliver Grunnion,16,5,Ravenclaw
Magorian Millicent,6,5,Gryffindor
Quirinus Keddle,4,3,Slytherin
Fingal the Fearless Grubbly-Plank,7,3,Gryffindor
Clara Flitwick,10,5,Hufflepuff
Madam Poppy Coote,8,2,Hufflepuff
Karkus Gudgeon,12,6,Ravenclaw
Padfoot Coote,15,2,Ravenclaw
Karkus Polkiss,5,3,Ravenclaw
Demelza Slinkhard,11,6,Hufflepuff
Ivan Crockford,5,4,Ravenclaw
Hassan Lovegood,11,2,Hufflepuff
Muriel Binns,9,4,Slytherin
Elfrida Zograf,4,4,Slytherin
Aragog Patil,14,4,Ravenclaw
Rose Dursley,10,3,Hufflepuff
Helga Figg,10,3,Hufflepuff
Tenebrus Flamel,6,4,Gryffindor
Aberforth Binns,13,5,Ravenclaw
Yaxley Helga,7,5,Gryffindor
Sturgis Dawlish,12,5,Ravenclaw
Grawp Smith,7,6,Gryffindor
Ludo Davies,15,6,Ravenclaw
Victoire Turpin,13,4,Ravenclaw
Tenebrus Pennifold,12,3,Ravenclaw
Amelia Susan Grunnion,9,3,Slytherin
Madam Poppy Longbottom,4,6,Slytherin
Alicia Vane,3,6,Slytherin
Armando Mostafa,4,3,Slytherin
Muriel MacFarlan,6,6,Gryffindor
Wendelin Gaunt,1,5,Gryffindor
Marvolo Johnson,2,6,Slytherin
Marvolo Lockhart,8,2,Hufflepuff
Romilda Bode,5,5,Ravenclaw
Gwendolyn Kneen,11,4,Hufflepuff
Remus Coote,11,2,Hufflepuff
Madam Poppy Thicknesse,5,4,Ravenclaw
Septima Peakes,9,5,Slytherin
Mosag Crouch,12,2,Ravenclaw
Remus Clearwater,4,4,Slytherin
Dennis ,1,2,Gryffindor
Tom Dursley,16,4,Ravenclaw
Stubby Keddle,7,3,Gryffindor
Hokey Snape,16,2,Ravenclaw
Moaning Myrtle Edgecombe,4,2,Slytherin
Bogrod Finch-Fletchley,14,5,Ravenclaw
Charity Ogden,12,3,Ravenclaw
Amycus Fletcher,2,6,Slytherin
Hedwig Shacklebolt,12,4,Ravenclaw
Anthony Prewett,15,6,Ravenclaw
Narcissa Hooch,5,3,Ravenclaw
Sybill Flamel,9,2,Slytherin
Bane Patil,3,2,Slytherin
Lavender Hooch,6,5,Gryffindor
Katie Doreen,1,6,Gryffindor
Sirius Bulstrode,15,6,Ravenclaw
Angelina Kirke,6,4,Gryffindor
Xenophilius Bulstrode,5,4,Ravenclaw
Cliodna Twycross,4,6,Slytherin
Bilius Bagman,13,2,Ravenclaw
Dean Hooch,5,3,Ravenclaw
Harry Longbottom,15,4,Ravenclaw
Inigo Pennifold,8,3,Hufflepuff
Trevor Bell,12,3,Ravenclaw
Bloody Baron Dumbledore,14,3,Ravenclaw
Adalbert Tonks,10,4,Hufflepuff
Elphias Creevey,1,2,Gryffindor
Hermes Twycross,9,5,Slytherin
Mundungus Volkov,8,6,Hufflepuff
Vernon Lynch,12,3,Ravenclaw
Katie Pomfrey,11,4,Hufflepuff
Olympe Jordan,4,5,Slytherin
Bogrod Bagnold,1,6,Gryffindor
Viktor Clearwater,14,5,Ravenclaw
Vernon Turpin,8,4,Hufflepuff
Arcturus Turpin,7,2,Gryffindor
Fat Friar Snape,14,6,Ravenclaw
Gladys Trelawney,9,5,Slytherin
Alecto Thicknesse,7,3,Gryffindor
Fang Binns,16,6,Ravenclaw
Doris Slughorn,14,4,Ravenclaw
James Krum,2,3,Slytherin
Bob Malfoy,7,3,Gryffindor
Helena Lockhart,11,3,Hufflepuff
Alicia Ivanova,8,5,Hufflepuff
Cornelius McClaggen,8,6,Hufflepuff
Arthur Turpin,4,5,Slytherin
Gabrielle Slughorn,13,6,Ravenclaw
Morgana Fletcher,5,5,Ravenclaw
Celestina Cresswell,14,2,Ravenclaw
Godric Hooch,4,6,Slytherin
Terence Murray,3,5,Slytherin
Narcissa Hufflepuff,2,3,Slytherin
Romilda Boardman,6,5,Gryffindor
Hestia Goldstein,1,4,Gryffindor
Anthony Gregorovitch,13,2,Ravenclaw
Bogrod Prang,13,6,Ravenclaw
Demelza Abbott,15,3,Ravenclaw
Peter Bones,5,2,Ravenclaw
Tom Derwent,13,6,Ravenclaw
Nagini Timms,10,3,Hufflepuff
Gabrielle Tonks,10,5,Hufflepuff
Armando Figg,5,5,Ravenclaw
Ginny Volkov,3,6,Slytherin
Oliver Fudge,13,6,Ravenclaw
Padma Ollivander,12,6,Ravenclaw
Phyllida Binns,7,2,Gryffindor
Antioch Flamel,12,2,Ravenclaw
Roger Whitby,4,3,Slytherin
Millicent Peverell,9,6,Slytherin
Kendra Warbeck,6,3,Gryffindor
Madam Poppy Trelawney,16,2,Ravenclaw
Alastor Grunnion,14,2,Ravenclaw
Marvolo Flitwick,1,4,Gryffindor
Wendy Pettigrew,14,3,Ravenclaw
Dirk Warbeck,16,4,Ravenclaw
Hermione Volkov,5,2,Ravenclaw
Ernie Umfraville,1,2,Gryffindor
Amelia Susan Flamel,14,6,Ravenclaw
Augusta Ivanova,15,3,Ravenclaw
Viridian Delaney-Podmore,8,3,Hufflepuff
Bathilda Slinkhard,3,6,Slytherin
Janus Zeller,14,5,Ravenclaw
Lisa Smith,5,2,Ravenclaw
Katie Clearwater,7,2,Gryffindor
Petunia Crouch,3,6,Slytherin
Travers Bagman,3,4,Slytherin
Eunice Trelawney,16,6,Ravenclaw
Pius Bulstrode,8,3,Hufflepuff
Hestia Figg,4,3,Slytherin
Miranda Cresswell,13,4,Ravenclaw
Emmeline Lynch,16,6,Ravenclaw
Fang ,16,4,Ravenclaw
Blaise Slinkhard,15,5,Ravenclaw
Fingal the Fearless MacMillian,6,2,Gryffindor
Fang Moody,4,2,Slytherin
Mosag Slughorn,9,5,Slytherin
Narcissa Oswald,2,2,Slytherin
Inigo Fortescue,2,2,Slytherin
Peeves Bagshot,14,6,Ravenclaw
Walden Malfoy,16,3,Ravenclaw
Bellatrix Robins,15,4,Ravenclaw
Snuffles Zabini,11,4,Hufflepuff
Mundungus Polkiss,16,6,Ravenclaw
Fluffy Pince,9,4,Slytherin
James Diggory,7,3,Gryffindor
Luna Slughorn,16,2,Ravenclaw
Kevin Higgs,13,5,Ravenclaw
Ron Lockhart,8,3,Hufflepuff
Pansy Karkaroff,3,5,Slytherin
Prongs Jones,16,2,Ravenclaw
Snuffles Gudgeon,6,5,Gryffindor
Madam Poppy Corner,9,6,Slytherin
Catriona Helga,12,3,Ravenclaw
Jugson McLaggen,1,4,Gryffindor
Broderick Pennifold,4,2,Slytherin
Godric Whisp,4,6,Slytherin
Dennis Gryffindor,8,5,Hufflepuff
Clara Flamel,5,5,Ravenclaw
Justin Doge,7,2,Gryffindor
Susan Lestrange,13,2,Ravenclaw
James Gudgeon,3,4,Slytherin
Stan Parkinson,2,4,Slytherin
Walden Zeller,9,5,Slytherin
Inigo Perks,10,4,Hufflepuff
Lavender Granger,4,4,Slytherin
Septima Twycross,3,2,Slytherin
Paracelsus Riddle,2,3,Slytherin
Bartemius Purkiss,13,6,Ravenclaw
You-Know-Who Black,15,3,Ravenclaw
Hokey Higgs,11,3,Hufflepuff
Antonin Potter,10,6,Hufflepuff
Severus Hopkirk,5,4,Ravenclaw
Terence Fortescue,4,6,Slytherin
Bill Quirrell,8,2,Hufflepuff
Angelina Ogden,12,6,Ravenclaw
Victoire Gryffindor,16,3,Ravenclaw
Oblansk Davies,6,2,Gryffindor
Barnabas the Barmy Bagman,16,4,Ravenclaw
Pansy Oswald,10,4,Hufflepuff
Garrick Polkiss,1,3,Gryffindor
Marge Bones,10,3,Hufflepuff
Kendra Kirke,2,4,Slytherin
Moran Zabini,7,4,Gryffindor
You-Know-Who Weasley,11,2,Hufflepuff
Wilfred Mimsey-Porpington,9,5,Slytherin
Kennilworthy Black,6,6,Gryffindor
Griphook Karkaroff,14,5,Ravenclaw
Gabrielle Bagshot,14,6,Ravenclaw
Cuthbert Umfraville,15,4,Ravenclaw
Antioch Coote,14,4,Ravenclaw
Ron Mundungus,9,6,Slytherin
Septima Figg,13,4,Ravenclaw
Neville Fortescue,5,5,Ravenclaw
Bloody Baron Peasegood,1,4,Gryffindor
Trevor Bryce,13,6,Ravenclaw
Ptolemy Chang,2,6,Slytherin
Katie Vulchanov,8,6,Hufflepuff
Alphard Abbott,5,4,Ravenclaw
Karkus Moody,9,6,Slytherin
Fluffy Quirke,2,3,Slytherin
Gladys Diggory,14,6,Ravenclaw
Hassan Bode,13,2,Ravenclaw
Horace Hooch,9,4,Slytherin
Magorian Hufflepuff,2,2,Slytherin
Pansy Riddle,1,2,Gryffindor
Katie Polkiss,13,6,Ravenclaw
Marvolo Zograf,9,4,Slytherin
Helena Boardman,10,4,Hufflepuff
Godric Hagrid,8,5,Hufflepuff
Beedle Krum,6,4,Gryffindor
Merlin Ogden,2,6,Slytherin
Rose Zabini,13,2,Ravenclaw
Celestina Kirke,15,2,Ravenclaw
Rose Flint,14,2,Ravenclaw
Elladora Fudge,13,6,Ravenclaw
Cedric Bulstrode,11,2,Hufflepuff
Daisy Crockford,16,6,Ravenclaw
Fat Friar Whisp,9,2,Slytherin
Ludo Belby,5,4,Ravenclaw
Violet Boardman,15,4,Ravenclaw
Thomas Dolohov,10,5,Hufflepuff
Kevin Elphick,6,6,Gryffindor
Elladora Whitby,1,4,Gryffindor
Wilfred Peasegood,9,4,Slytherin
Cornelius Tonks,9,4,Slytherin
Penelope Rookwood,13,3,Ravenclaw
Regulus Rosier,6,4,Gryffindor
Evan Rabnott,3,3,Slytherin
Olympe Delacour,16,2,Ravenclaw
Ludo Maxime,12,3,Ravenclaw
Septima Pennifold,5,3,Ravenclaw
Godric Corner,10,5,Hufflepuff
Ted Thickey,1,6,Gryffindor
Lucius MacFarlan,10,4,Hufflepuff
George Whitby,9,4,Slytherin
Modesty Diggle,6,4,Gryffindor
Wormtail MacFarlan,6,3,Gryffindor
Anthony Hopkirk,8,3,Hufflepuff
Elphias Timms,12,3,Ravenclaw
Godric Grubbly-Plank,11,6,Hufflepuff
Ronan Purkiss,3,2,Slytherin
Helga Flint,8,3,Hufflepuff
Janus Bragge,4,4,Slytherin
Garrick Evans,10,6,Hufflepuff
Peeves Prewett,5,6,Ravenclaw
Dean Malfoy,11,2,Hufflepuff
Rita Perks,14,3,Ravenclaw
George Bell,14,4,Ravenclaw
Peter McLaggen,11,2,Hufflepuff
Marietta MacNair,11,3,Hufflepuff
Malkin Twycross,16,2,Ravenclaw
Bartemius Crouch Junior Finnigan,2,2,Slytherin
Lucius Lestrange,6,5,Gryffindor
Elphias Nott,11,3,Hufflepuff
Elladora Pince,9,3,Slytherin
Scabior Quirrell,1,6,Gryffindor
Morgana Hagrid,5,3,Ravenclaw
Severus Helga,2,5,Slytherin
Agrippa Rookwood,5,6,Ravenclaw
Horace Zabini,12,2,Ravenclaw
Uric Lovegood,16,6,Ravenclaw
Paracelsus Timms,3,5,Slytherin
Peter Edgecombe,10,5,Hufflepuff
Jimmy Creevey,8,2,Hufflepuff
George Vector,8,6,Hufflepuff
Ron McClaggen,8,6,Hufflepuff
Luna Dursley,16,4,Ravenclaw
Phineas Nigellus Hagrid,12,4,Ravenclaw
Bartemius Figg,12,4,Ravenclaw
Oblansk Robins,10,2,Hufflepuff
Andrew Bagman,13,6,Ravenclaw
Rubeus Goshawk,7,2,Gryffindor
Griselda Sprout,7,4,Gryffindor
Arabella Bagnold,13,2,Ravenclaw
Rowena Bulstrode,4,4,Slytherin
Marietta Flamel,14,2,Ravenclaw
Cedric Bagnold,7,3,Gryffindor
Marcus Ogden,9,2,Slytherin
Ripper Volkov,1,3,Gryffindor
Xenophilius Vane,5,6,Ravenclaw
Kendra Jones,4,5,Slytherin
Teddy Dursley,9,5,Slytherin
Aberforth Kirke,11,3,Hufflepuff
Bloody Baron Bryce,12,4,Ravenclaw
Ptolemy Evans,10,4,Hufflepuff
Ripper Finnigan,13,2,Ravenclaw
Mosag Thicknesse,7,6,Gryffindor
Bloody Baron Diggory,13,5,Ravenclaw
Gwenog Bagnold,9,5,Slytherin
Arabella Bode,11,5,Hufflepuff
Arabella Nott,11,3,Hufflepuff
Septima Ivanova,4,5,Slytherin
Cadmus Quirke,5,3,Ravenclaw
Severus Kirke,10,5,Hufflepuff
Filius Granger,9,3,Slytherin
Wilkie Murray,1,3,Gryffindor
Moran Whisp,2,4,Slytherin
Ptolemy Bell,3,4,Slytherin
Bob Prang,3,2,Slytherin
Agrippa Patil,14,3,Ravenclaw
Gladys Murray,11,3,Hufflepuff
Kevin Hooch,12,3,Ravenclaw
Winky Flint,15,2,Ravenclaw
Anthony Delacour,16,6,Ravenclaw
Magorian Bagnold,5,6,Ravenclaw
Cliodna Delaney-Podmore,16,5,Ravenclaw
Albus percival Wulfric Brian Derwent,13,5,Ravenclaw
Rowena Slytherin,9,6,Slytherin
Orla Thicknesse,11,5,Hufflepuff
Norbert Rookwood,7,2,Gryffindor
Oliver Prewett,12,3,Ravenclaw
Emmeline MacNair,12,5,Ravenclaw
Wormtail Polkiss,5,3,Ravenclaw
Agrippa Boardman,3,6,Slytherin
Ginny Bragge,7,4,Gryffindor
Buckbeak Belby,16,4,Ravenclaw
Marietta Finnigan,8,4,Hufflepuff
Helena Diggory,9,3,Slytherin
Livius Belby,2,3,Slytherin
Armando Morgan,5,3,Ravenclaw
Bogrod Kettleburn,16,3,Ravenclaw
Inigo Peakes,9,5,Slytherin
Newton Imago,1,2,Gryffindor
Travers Vector,16,3,Ravenclaw
Patrick Crockford,11,2,Hufflepuff
Garrick Malfoy,3,4,Slytherin
Eloise Pettigrew,1,2,Gryffindor
Teddy Zeller,2,4,Slytherin
Wilhelmina Fortescue,14,3,Ravenclaw
Seamus Chang,13,6,Ravenclaw
Amos Binns,13,3,Ravenclaw
Agatha Binns,15,6,Ravenclaw
Pomona Tonks,3,5,Slytherin
Rolanda Flitwick,16,3,Ravenclaw
Hamish Boardman,6,6,Gryffindor
Griphook Oswald,10,3,Hufflepuff
Cassandra Doreen,10,3,Hufflepuff
Cuthbert Hagrid,15,6,Ravenclaw
Amycus Wood,9,3,Slytherin
Yaxley Skeeter,16,2,Ravenclaw
Arabella Lynch,15,3,Ravenclaw
Merlin ,9,2,Slytherin
Filius Millicent,8,2,Hufflepuff
Aunt Marge Crabbe,8,6,Hufflepuff
Amelia Susan Perks,11,5,Hufflepuff
Griselda Vulchanov,5,4,Ravenclaw
Paracelsus Hagrid,15,3,Ravenclaw
Teddy MacNair,5,4,Ravenclaw
Broderick Corner,14,4,Ravenclaw
Wilhelmina Krum,14,6,Ravenclaw
Gregory the Smarmy Fletcher,10,6,Hufflepuff
Florean Bagshot,5,5,Ravenclaw
Cho Moody,10,5,Hufflepuff
Uric Gaunt,16,3,Ravenclaw
Vincent Ogden,6,5,Gryffindor
Augustus Quirrell,15,5,Ravenclaw
Michael Brown,11,5,Hufflepuff
Dolores Mundungus,3,2,Slytherin
Quentin Diggle,14,2,Ravenclaw
Scabior Ollivander,7,5,Gryffindor
Olympe Skeeter,14,2,Ravenclaw
Travers Lynch,16,5,Ravenclaw
Arabella Binns,10,2,Hufflepuff
Yaxley Lupin,13,2,Ravenclaw
Bertha Bones,10,4,Hufflepuff
Amycus Figg,6,5,Gryffindor
Terence Warbeck,5,3,Ravenclaw
Gabrielle Maxime,2,2,Slytherin
Hermes Lockhart,13,6,Ravenclaw
Dennis Kettleburn,15,5,Ravenclaw
Snivellus McLaggen,15,5,Ravenclaw
Wilbert Dolohov,7,3,Gryffindor
John Gaunt,1,3,Gryffindor
Modesty Malfoy,9,3,Slytherin
Catriona Longbottom,2,5,Slytherin
Gwenog Hufflepuff,14,2,Ravenclaw
Rosmerta Bones,12,5,Ravenclaw
Cliodna Tonks,12,6,Ravenclaw
Ludo Whitby,12,3,Ravenclaw
Alphard Helga,6,2,Gryffindor
Moaning Myrtle Rookwood,1,6,Gryffindor
Elladora McGonagall,5,5,Ravenclaw
Hugo Patil,2,2,Slytherin
Cassandra Higgs,6,3,Gryffindor
Marietta Hufflepuff,12,6,Ravenclaw
John Prince,6,2,Gryffindor
Oliver Kneen,9,3,Slytherin
Vernon Jigger,3,3,Slytherin
Miranda Cattermole,6,2,Gryffindor
Circe Binns,12,3,Ravenclaw
Oblansk Prang,8,5,Hufflepuff
Severus Pomfrey,13,6,Ravenclaw
Padfoot Finch-Fletchley,7,4,Gryffindor
Katie Hagrid,11,2,Hufflepuff
Tom Keddle,4,2,Slytherin
Gregory the Smarmy ,12,3,Ravenclaw
Hengist of Woodcroft Imago,3,5,Slytherin
Madam Poppy Crabbe,4,4,Slytherin
Cliodna Mundungus,9,6,Slytherin
Phineas Nigellus Warbeck,3,4,Slytherin
Muriel Cattermole,11,4,Hufflepuff
Kingsley Goshawk,7,5,Gryffindor
Cormac Doge,2,5,Slytherin
Harry Jorkins,4,4,Slytherin
Seamus Hagrid,10,5,Hufflepuff
Merope Prince,5,4,Ravenclaw
Dedalus Vector,11,3,Hufflepuff
Mafalda Derwent,2,6,Slytherin
Elfrida Vector,10,5,Hufflepuff
Penelope Bagman,8,4,Hufflepuff
Parvati Gudgeon,15,2,Ravenclaw
Hannah Pince,13,4,Ravenclaw
Elphias Finnigan,13,6,Ravenclaw
Kevin Chang,15,5,Ravenclaw
Victoire Carrow,2,3,Slytherin
Helena Diggle,14,3,Ravenclaw
Arthur Malfoy,2,6,Slytherin
Elphias Kneen,12,5,Ravenclaw
Nagini Umfraville,11,6,Hufflepuff
Bilius Nott,15,4,Ravenclaw
Araminta Kirke,7,3,Gryffindor
Wilhelmina Hufflepuff,5,6,Ravenclaw
Bellatrix Podmore,9,3,Slytherin
Marietta Potter,11,2,Hufflepuff
Cliodna Maxime,7,5,Gryffindor
Lisa Gryffindor,13,6,Ravenclaw
Avery Polkiss,8,3,Hufflepuff
Beedle Jones,9,3,Slytherin
Bertha Morgan,16,6,Ravenclaw
Walden Hufflepuff,11,4,Hufflepuff
Gregory Abbott,5,2,Ravenclaw
Hannah Grubbly-Plank,13,4,Ravenclaw
Dedalus Goldstein,11,6,Hufflepuff
Gladys Marchbanks,3,2,Slytherin
Hestia Davies,10,2,Hufflepuff
Aragog Bagshot,3,6,Slytherin
Kreacher Prang,9,4,Slytherin
Pius Wood,13,4,Ravenclaw
Agatha Diggle,10,5,Hufflepuff
Catriona Delacour,4,2,Slytherin
MykewÂ Whisp,14,4,Ravenclaw
Regulus Clagg,9,4,Slytherin
Elladora Kneen,4,4,Slytherin
Fingal the Fearless Ollivander,6,5,Gryffindor
Violet MacNair,9,2,Slytherin
Merlin Imago,5,4,Ravenclaw
Padma McGonagall,11,4,Hufflepuff
Beedle Finch-Fletchley,12,4,Ravenclaw
Stan Kneen,11,3,Hufflepuff
Newton Bragge,2,2,Slytherin
Goodwin Thicknesse,4,3,Slytherin
Gabrielle Potter,13,5,Ravenclaw
Rolanda Crockford,15,6,Ravenclaw
Lisa Finnigan,1,6,Gryffindor
Wilfred Lockhart,9,2,Slytherin
Morgana Pennifold,16,3,Ravenclaw
Fleur Karkaroff,8,5,Hufflepuff
Circe Ravenclaw,2,5,Slytherin
Colin Trimble,9,3,Slytherin
Hermes Maxime,6,6,Gryffindor
Luna Krum,6,3,Gryffindor
Hannah Murray,8,6,Hufflepuff
Cadmus Bode,15,6,Ravenclaw
Circe Whitby,4,6,Slytherin
Kennilworthy Maxime,15,2,Ravenclaw
Wilfred McLaggen,1,5,Gryffindor
Mosag Bagman,16,5,Ravenclaw
Avery Rabnott,7,6,Gryffindor
Violet Bulstrode,2,5,Slytherin
Morgana MacNair,11,3,Hufflepuff
Elfrida Pomfrey,4,5,Slytherin
Ernie Finch-Fletchley,11,4,Hufflepuff
Ron Slinkhard,1,6,Gryffindor
Remus Karkaroff,7,6,Gryffindor
Cliodna Pennifold,7,4,Gryffindor
Aidan Flitwick,3,3,Slytherin
Padma Pomfrey,1,2,Gryffindor
Aberforth Switch,7,4,Gryffindor
Bertha Mostafa,8,4,Hufflepuff
Pomona Prewett,16,6,Ravenclaw
Wormtail Malfoy,13,2,Ravenclaw
Agatha Ogden,14,5,Ravenclaw
Augustus Slytherin,4,2,Slytherin
Fred Dursley,3,2,Slytherin
Xenophilius Imago,9,4,Slytherin
Bilius Belby,11,6,Hufflepuff
Cornelius Black,7,2,Gryffindor
Quigley Malfoy,1,4,Gryffindor
Pius Smith,15,4,Ravenclaw
Quintius Karkaroff,3,6,Slytherin
Phyllida Abbott,12,6,Ravenclaw
Alice Vector,14,6,Ravenclaw
Victoire Black,5,4,Ravenclaw
Fred Figg,15,3,Ravenclaw
Rolanda Maxime,8,6,Hufflepuff
Xenophilius Goldstein,8,3,Hufflepuff
Marvolo Rookwood,11,4,Hufflepuff
Draco Dolohov,15,3,Ravenclaw
Frank Moody,8,6,Hufflepuff
James Umbridge,8,2,Hufflepuff
Griphook Longbottom,14,4,Ravenclaw
Regulus Hagrid,3,5,Slytherin
Augustus Zabini,13,4,Ravenclaw
Hedwig Brown,1,5,Gryffindor
Cassandra Mimsey-Porpington,16,5,Ravenclaw
Andrew Bryce,15,5,Ravenclaw
Sturgis Thicknesse,2,5,Slytherin
Lavender Longbottom,1,2,Gryffindor
Ragnok Filch,13,6,Ravenclaw
Gabrielle Jordan,5,6,Ravenclaw
You-Know-Who Umbridge,12,2,Ravenclaw
Remus Thickey,6,2,Gryffindor
Ptolemy Polkiss,6,2,Gryffindor
Michael Peasegood,15,4,Ravenclaw
Modesty Doreen,8,5,Hufflepuff
Neville Davies,10,5,Hufflepuff
Agrippa Imago,16,2,Ravenclaw
Emmeline Millicent,1,3,Gryffindor
Walden Chang,14,5,Ravenclaw
Dilys Moody,10,4,Hufflepuff
Hokey Crockford,10,2,Hufflepuff
Morgana Potter,13,4,Ravenclaw
Hermione Skeeter,16,2,Ravenclaw
Cormac Moody,8,5,Hufflepuff
Tom Clagg,5,2,Ravenclaw
Wilbert Corner,16,5,Ravenclaw
Ginny Cattermole,12,6,Ravenclaw
Pomona Filch,14,2,Ravenclaw
Golgomath Robins,6,4,Gryffindor
Kevin Mimsey-Porpington,12,2,Ravenclaw
Petunia Binns,2,6,Slytherin
Hedwig Podmore,6,3,Gryffindor
Blaise Belby,12,6,Ravenclaw
Cadmus Bell,10,5,Hufflepuff
Marge Higgs,8,5,Hufflepuff
Kevin Binns,13,5,Ravenclaw
Frank Dumbledore,13,3,Ravenclaw
Clara McGonagall,10,3,Hufflepuff
Celestina Mimsey-Porpington,6,3,Gryffindor
Aunt Marge Whisp,10,3,Hufflepuff
Cho Delaney-Podmore,13,4,Ravenclaw
Albus percival Wulfric Brian Ivanova,11,5,Hufflepuff
Beedle Midgeon,4,6,Slytherin
